Code	Engels	Nederlands
tem, Name for	Timne	Timne
ten, Name for	Tama (Colombia)	NOG NIET VERTAALD
teo, Name for	Teso	Tereno
tep, Name for	Tepecano	Tereno
teq, Name for	Temein	Tereno
ter, Name for	Tereno	Tereno
tes, Name for	Tengger	NOG NIET VERTAALD
tet, Name for	Tetum	Tetum
teu, Name for	Soo	NOG NIET VERTAALD
tev, Name for	Teor	Tereno
tew, Name for	Tewa (USA)	NOG NIET VERTAALD
tex, Name for	Tennet	NOG NIET VERTAALD
tey, Name for	Tulishi	Turks
tez, Name for	Tetserret	NOG NIET VERTAALD
tfi, Inverted name for	Gbe, Tofin	NOG NIET VERTAALD
tfi, Name for	Tofin Gbe	NOG NIET VERTAALD
tfn, Name for	Tanaina	Pangasinaans
tfo, Name for	Tefaro	Tereno
tfr, Name for	Teribe	Tereno
tft, Name for	Ternate	Tereno
tga, Name for	Sagalla	NOG NIET VERTAALD
tgb, Name for	Tobilung	Telugu
tgc, Name for	Tigak	Tigrinya
tgd, Name for	Ciwogai	Nogai
tge, Inverted name for	Tamang, Eastern Gorkha	NOG NIET VERTAALD
tge, Name for	Eastern Gorkha Tamang	NOG NIET VERTAALD
tgf, Name for	Chalikha	Tsjibtsja
tgh, Inverted name for	Creole English, Tobagonian	NOG NIET VERTAALD
tgh, Name for	Tobagonian Creole English	NOG NIET VERTAALD
tgi, Name for	Lawunuia	Lunda
tgj, Name for	Tagin	Deens
tgk, Name for	Tajik	Tadzjieks
tgl, Name for	Tagalog	Tagalog
tgn, Name for	Tandaganon	Ewondo
tgo, Name for	Sudest	Soendanees, Sundanees
tgp, Name for	Tangoa	Sangho
tgq, Name for	Tring	Tigrinya
tgr, Name for	Tareng	Karen
tgs, Name for	Nume	Niueaans
tgt, Inverted name for	Tagbanwa, Central	NOG NIET VERTAALD
tgt, Name for	Central Tagbanwa	Tagbanwa
tgu, Name for	Tanggu	Tagalog
tgv, Name for	Tingui-Boto	Tlinglit
tgw, Inverted name for	Senoufo, Tagwana	NOG NIET VERTAALD
tgw, Name for	Tagwana Senoufo	NOG NIET VERTAALD
tgx, Name for	Tagish	Deens
tgy, Name for	Togoyo	NOG NIET VERTAALD
tgz, Name for	Tagalaka	Palauaans
tha, Name for	Thai	Thais
thd, Name for	Kuuk Thaayorre	NOG NIET VERTAALD
the, Inverted name for	Tharu, Chitwania	NOG NIET VERTAALD
the, Name for	Chitwania Tharu	Tsjibtsja
thf, Name for	Thangmi	Thai
thh, Inverted name for	Tarahumara, Northern	NOG NIET VERTAALD
thh, Name for	Northern Tarahumara	Noord-Sami
thi, Name for	Tai Long	NOG NIET VERTAALD
thk, Name for	Tharaka	NOG NIET VERTAALD
thl, Inverted name for	Tharu, Dangaura	NOG NIET VERTAALD
thl, Name for	Dangaura Tharu	NOG NIET VERTAALD
thm, Name for	Aheu	NOG NIET VERTAALD
thn, Name for	Thachanadan	Tswana
thp, Name for	Thompson	NOG NIET VERTAALD
thq, Inverted name for	Tharu, Kochila	NOG NIET VERTAALD
thq, Name for	Kochila Tharu	NOG NIET VERTAALD
thr, Inverted name for	Tharu, Rana	NOG NIET VERTAALD
thr, Name for	Rana Tharu	NOG NIET VERTAALD
ths, Name for	Thakali	Thai
tht, Name for	Tahltan	Tahitisch
thu, Name for	Thuri	Turks
thv, Inverted name for	Tamahaq, Tahaggart	NOG NIET VERTAALD
thv, Name for	Tahaggart Tamahaq	NOG NIET VERTAALD
thy, Name for	Tha	Thai
thz, Inverted name for	Tamajeq, Tayart	NOG NIET VERTAALD
thz, Name for	Tayart Tamajeq	NOG NIET VERTAALD
tia, Inverted name for	Tamazight, Tidikelt	NOG NIET VERTAALD
tia, Name for	Tidikelt Tamazight	NOG NIET VERTAALD
tic, Name for	Tira	Tigrinya
tif, Name for	Tifal	Tamil
tig, Name for	Tigre	Tigre
tih, Inverted name for	Murut, Timugon	NOG NIET VERTAALD
tih, Name for	Timugon Murut	NOG NIET VERTAALD
tii, Name for	Tiene	Timne
tij, Name for	Tilung	Telugu
tik, Name for	Tikar	Tigre
til, Name for	Tillamook	NOG NIET VERTAALD
tim, Name for	Timbe	Timne
tin, Name for	Tindi	Hindi
tio, Name for	Teop	Tereno
tip, Name for	Trimuris	Turks
tiq, Name for	Tiéfo	NOG NIET VERTAALD
tir, Name for	Tigrinya	Tigrinya
tis, Inverted name for	Itneg, Masadiit	NOG NIET VERTAALD
tis, Name for	Masadiit Itneg	NOG NIET VERTAALD
tit, Name for	Tinigua	Tuviniaans
tiu, Name for	Adasen	Adangme
tiv, Name for	Tiv	Tiv
tiw, Name for	Tiwi	Twi
tix, Inverted name for	Tiwa, Southern	Zuid-Sothaans
tix, Name for	Southern Tiwa	Zuid-Sothaans
tiy, Name for	Tiruray	NOG NIET VERTAALD
tiz, Name for	Tai Hongjin	NOG NIET VERTAALD
tja, Name for	Tajuasohn	Rajasthani
tjg, Name for	Tunjung	NOG NIET VERTAALD
tji, Inverted name for	Tujia, Northern	NOG NIET VERTAALD
tji, Name for	Northern Tujia	Noord-Sami
tjj, Name for	Tjungundji	Rundi
tjl, Name for	Tai Laing	Thai
tjm, Name for	Timucua	NOG NIET VERTAALD
tjn, Name for	Tonjon	NOG NIET VERTAALD
tjo, Inverted name for	Tamazight, Temacine	NOG NIET VERTAALD
tjo, Name for	Temacine Tamazight	NOG NIET VERTAALD
tjp, Name for	Tjupany	NOG NIET VERTAALD
tjs, Inverted name for	Tujia, Southern	Zuid-Sothaans
tjs, Name for	Southern Tujia	Zuid-Sami
tju, Name for	Tjurruru	NOG NIET VERTAALD
tjw, Name for	Djabwurrung	NOG NIET VERTAALD
tka, Name for	Truká	NOG NIET VERTAALD
tkb, Name for	Buksa	Basa
tkd, Name for	Tukudede	NOG NIET VERTAALD
tke, Name for	Takwane	Tswana
tkf, Name for	Tukumanféd	NOG NIET VERTAALD
tkg, Inverted name for	Malagasy, Tesaka	NOG NIET VERTAALD
tkg, Name for	Tesaka Malagasy	NOG NIET VERTAALD
tkl, Name for	Tokelau	Tokelau
tkm, Name for	Takelma	Tokelau
tkn, Name for	Toku-No-Shima	NOG NIET VERTAALD
tkp, Name for	Tikopia	NOG NIET VERTAALD
tkq, Name for	Tee	Tereno
tkr, Name for	Tsakhur	NOG NIET VERTAALD
tks, Name for	Takestani	Rajasthani
tkt, Inverted name for	Tharu, Kathoriya	NOG NIET VERTAALD
tkt, Name for	Kathoriya Tharu	NOG NIET VERTAALD
tku, Inverted name for	Totonac, Upper Necaxa	NOG NIET VERTAALD
tku, Name for	Upper Necaxa Totonac	NOG NIET VERTAALD
tkv, Name for	Mur Pano	Punjabi
tkw, Name for	Teanu	Tokelau
tkx, Name for	Tangko	Sangho
tkz, Name for	Takua	Tadzjieks
tla, Inverted name for	Tepehuan, Southwestern	NOG NIET VERTAALD
tla, Name for	Southwestern Tepehuan	Zuid-Sothaans
tlb, Name for	Tobelo	Tokelau
tlc, Inverted name for	Totonac, Yecuatla	NOG NIET VERTAALD
tlc, Name for	Yecuatla Totonac	NOG NIET VERTAALD
tld, Name for	Talaud	Tuvalu
tlf, Name for	Telefol	Tereno
tlg, Name for	Tofanma	Tsonga
tlh, Name for	Klingon	Khazi
tli, Name for	Tlingit	Tlingit
tlj, Name for	Talinga-Bwisi	NOG NIET VERTAALD
tlk, Name for	Taloki	Tagalog
tll, Name for	Tetela	Tibetaans
tlm, Name for	Tolomako	Iloko
tln, Name for	Talondo'	NOG NIET VERTAALD
tlo, Name for	Talodi	Tagalog
tlp, Inverted name for	Totonac, Filomena Mata-Coahuitlán	NOG NIET VERTAALD
tlp, Name for	Filomena Mata-Coahuitlán Totonac	NOG NIET VERTAALD
tlq, Name for	Tai Loi	NOG NIET VERTAALD
tlr, Name for	Talise	Balinees
tls, Name for	Tambotalo	Tagalog
tlt, Name for	Sou Nama	Namat
tlu, Name for	Tulehu	Tuvalu
tlv, Name for	Taliabu	Tuvalu
tlx, Name for	Khehek	Tsjetsjeens
tly, Name for	Talysh	NOG NIET VERTAALD
tma, Name for	Tama (Chad)	Tama (Tsjaad)
tmb, Name for	Katbol	Kabyle
tmc, Name for	Tumak	Tumbuka
tmd, Name for	Haruai	Hausa
tme, Name for	Tremembé	NOG NIET VERTAALD
tmf, Name for	Toba-Maskoy	NOG NIET VERTAALD
tmg, Name for	Ternateño	Tereno
tmh, Name for	Tamashek	Tamasjek
tmi, Name for	Tutuba	Tumbuka
tmj, Name for	Samarokena	Samoaans
tmk, Inverted name for	Tamang, Northwestern	NOG NIET VERTAALD
tmk, Name for	Northwestern Tamang	Noord-Sami
tml, Inverted name for	Citak, Tamnim	NOG NIET VERTAALD
tml, Name for	Tamnim Citak	NOG NIET VERTAALD
tmm, Name for	Tai Thanh	NOG NIET VERTAALD
tmn, Name for	Taman (Indonesia)	Taman (Indonesië)
tmo, Name for	Temoq	Tetum
tmq, Name for	Tumleo	Turkmeens
tmr, Inverted name for	Aramaic, Jewish Babylonian (ca. 200-1200 CE)	NOG NIET VERTAALD
tmr, Name for	Jewish Babylonian Aramaic (ca. 200-1200 CE)	NOG NIET VERTAALD
tms, Name for	Tima	Timne
tmt, Name for	Tasmate	Tamasjek
tmu, Name for	Iau	NOG NIET VERTAALD
tmv, Name for	Tembo (Motembo)	NOG NIET VERTAALD
tmw, Name for	Temuan	Temuan
tmy, Name for	Tami	Tamil
tmz, Name for	Tamanaku	Pampanga
tna, Name for	Tacana	Tswana
tnb, Inverted name for	Tunebo, Western	NOG NIET VERTAALD
tnb, Name for	Western Tunebo	NOG NIET VERTAALD
tnc, Name for	Tanimuca-Retuarã	NOG NIET VERTAALD
tnd, Inverted name for	Tunebo, Angosturas	NOG NIET VERTAALD
tnd, Name for	Angosturas Tunebo	NOG NIET VERTAALD
tng, Name for	Tobanga	Tsonga
tnh, Name for	Maiani	Masai
tni, Name for	Tandia	Banda
tnk, Name for	Kwamera	NOG NIET VERTAALD
tnl, Name for	Lenakel	NOG NIET VERTAALD
tnm, Name for	Tabla	Tatar
tnn, Inverted name for	Tanna, North	NOG NIET VERTAALD
tnn, Name for	North Tanna	NOG NIET VERTAALD
tno, Name for	Toromono	Oromo
tnp, Name for	Whitesands	NOG NIET VERTAALD
tnq, Name for	Taino	Ladino
tnr, Name for	Ménik	NOG NIET VERTAALD
tns, Name for	Tenis	NOG NIET VERTAALD
tnt, Name for	Tontemboan	NOG NIET VERTAALD
tnu, Name for	Tay Khang	NOG NIET VERTAALD
tnv, Name for	Tangchangya	NOG NIET VERTAALD
tnw, Name for	Tonsawang	Tswana
tnx, Name for	Tanema	Tswana
tny, Name for	Tongwe	Tsonga
tnz, Name for	Ten'edn	NOG NIET VERTAALD
tob, Name for	Toba	Yoruba
toc, Inverted name for	Totonac, Coyutla	NOG NIET VERTAALD
toc, Name for	Coyutla Totonac	NOG NIET VERTAALD
tod, Name for	Toma	Tsonga
tof, Name for	Gizrra	NOG NIET VERTAALD
tog, Name for	Tonga (Nyasa)	Tonga (Nyasa)
toh, Name for	Gitonga	Ndonga
toi, Name for	Tonga (Zambia)	Tonga (Zambia)
toj, Name for	Tojolabal	NOG NIET VERTAALD
tok, Name for	Toki Pona	NOG NIET VERTAALD
tol, Name for	Tolowa	Tokelau
tom, Name for	Tombulu	Tuvalu
ton, Name for	Tonga (Tonga Islands)	Tonga (Tonga-eilanden)
too, Inverted name for	Totonac, Xicotepec De Juárez	NOG NIET VERTAALD
too, Name for	Xicotepec De Juárez Totonac	NOG NIET VERTAALD
top, Inverted name for	Totonac, Papantla	NOG NIET VERTAALD
top, Name for	Papantla Totonac	NOG NIET VERTAALD
toq, Name for	Toposa	NOG NIET VERTAALD
tor, Inverted name for	Banda, Togbo-Vara	NOG NIET VERTAALD
tor, Name for	Togbo-Vara Banda	NOG NIET VERTAALD
tos, Inverted name for	Totonac, Highland	NOG NIET VERTAALD
tos, Name for	Highland Totonac	NOG NIET VERTAALD
tou, Name for	Tho	NOG NIET VERTAALD
tov, Inverted name for	Taromi, Upper	NOG NIET VERTAALD
tov, Name for	Upper Taromi	NOG NIET VERTAALD
tow, Name for	Jemez	Geez
tox, Name for	Tobian	Lojbaans
toy, Name for	Topoiyo	NOG NIET VERTAALD
toz, Name for	To	Aan
tpa, Name for	Taupota	Tatar
tpc, Inverted name for	Me'phaa, Azoyú	NOG NIET VERTAALD
tpc, Name for	Azoyú Me'phaa	NOG NIET VERTAALD
tpe, Name for	Tippera	NOG NIET VERTAALD
tpf, Name for	Tarpia	Thai
tpg, Name for	Kula	Fulah
tpi, Name for	Tok Pisin	Tok Pisin
tpj, Name for	Tapieté	NOG NIET VERTAALD
tpk, Name for	Tupinikin	Tuviniaans
tpl, Inverted name for	Me'phaa, Tlacoapa	NOG NIET VERTAALD
tpl, Name for	Tlacoapa Me'phaa	NOG NIET VERTAALD
tpm, Name for	Tampulma	Tamil
tpn, Name for	Tupinambá	NOG NIET VERTAALD
tpo, Name for	Tai Pao	NOG NIET VERTAALD
tpp, Inverted name for	Tepehua, Pisaflores	NOG NIET VERTAALD
tpp, Name for	Pisaflores Tepehua	NOG NIET VERTAALD
tpq, Name for	Tukpa	Tumbuka
tpr, Name for	Tuparí	NOG NIET VERTAALD
tpt, Inverted name for	Tepehua, Tlachichilco	NOG NIET VERTAALD
tpt, Name for	Tlachichilco Tepehua	NOG NIET VERTAALD
tpu, Name for	Tampuan	Pampanga
tpv, Name for	Tanapag	Tswana
tpw, Name for	Tupí	NOG NIET VERTAALD
tpx, Inverted name for	Me'phaa, Acatepec	NOG NIET VERTAALD
tpx, Name for	Acatepec Me'phaa	NOG NIET VERTAALD
tpy, Name for	Trumai	Tetum
tpz, Name for	Tinputz	NOG NIET VERTAALD
tqb, Name for	Tembé	NOG NIET VERTAALD
tql, Name for	Lehali	Nepalees
tqm, Name for	Turumsa	Sukuma
tqn, Name for	Tenino	Tereno
tqo, Name for	Toaripi	NOG NIET VERTAALD
tqp, Name for	Tomoip	Komi
tqq, Name for	Tunni	Zuni
tqr, Name for	Torona	Tsonga
tqt, Inverted name for	Totonac, Western	Fries
tqt, Name for	Western Totonac	NOG NIET VERTAALD
tqu, Name for	Touo	NOG NIET VERTAALD
tqw, Name for	Tonkawa	Tsonga
tra, Name for	Tirahi	Kirgizisch
trb, Name for	Terebu	Tereno
trc, Inverted name for	Triqui, Copala	NOG NIET VERTAALD
trc, Name for	Copala Triqui	NOG NIET VERTAALD
trd, Name for	Turi	Turks
tre, Inverted name for	Tarangan, East	NOG NIET VERTAALD
tre, Name for	East Tarangan	Sarangani Blaan
trf, Inverted name for	Creole English, Trinidadian	NOG NIET VERTAALD
trf, Name for	Trinidadian Creole English	NOG NIET VERTAALD
trg, Name for	Lishán Didán	NOG NIET VERTAALD
trh, Name for	Turaka	Turkmeens
tri, Name for	Trió	NOG NIET VERTAALD
trj, Name for	Toram	Tamil
trl, Inverted name for	Scottish, Traveller	Romani, Schots
trl, Name for	Traveller Scottish	Schots Romani
trm, Name for	Tregami	Tamil
trn, Name for	Trinitario	NOG NIET VERTAALD
tro, Inverted name for	Naga, Tarao	NOG NIET VERTAALD
tro, Name for	Tarao Naga	NOG NIET VERTAALD
trp, Name for	Kok Borok	NOG NIET VERTAALD
trq, Inverted name for	Triqui, San Martín Itunyoso	NOG NIET VERTAALD
trq, Name for	San Martín Itunyoso Triqui	NOG NIET VERTAALD
trr, Name for	Taushiro	NOG NIET VERTAALD
trs, Inverted name for	Triqui, Chicahuaxtla	NOG NIET VERTAALD
trs, Name for	Chicahuaxtla Triqui	NOG NIET VERTAALD
trt, Name for	Tunggare	Tigre
tru, Name for	Turoyo	NOG NIET VERTAALD
trv, Name for	Sediq	NOG NIET VERTAALD
trw, Name for	Torwali	Somali
trx, Inverted name for	Bidayuh, Tringgus-Sembaan	NOG NIET VERTAALD
trx, Name for	Tringgus-Sembaan Bidayuh	NOG NIET VERTAALD
try, Name for	Turung	Turkmeens
trz, Name for	Torá	NOG NIET VERTAALD
tsa, Name for	Tsaangi	Tsonga
tsb, Name for	Tsamai	Tamil
tsc, Name for	Tswa	Tswana
tsd, Name for	Tsakonian	Estlands
tse, Name for	Tunisian Sign Language	Tunisische Gebarentaal
tsg, Name for	Tausug	Susu
tsh, Name for	Tsuvan	Tuviniaans
tsi, Name for	Tsimshian	Tsimsjiaans
tsj, Name for	Tshangla	Tsonga
tsk, Name for	Tseku	Tamasjek
tsl, Name for	Ts'ün-Lao	NOG NIET VERTAALD
tsm, Name for	Turkish Sign Language	Turkse Gebarentaal
tsn, Name for	Tswana	Tswana
tso, Name for	Tsonga	Tsonga
tsp, Inverted name for	Toussian, Northern	NOG NIET VERTAALD
tsp, Name for	Northern Toussian	Noord-Sami
tsq, Name for	Thai Sign Language	Thaise Gebarentaal
tsr, Name for	Akei	NOG NIET VERTAALD
tss, Name for	Taiwan Sign Language	Taiwanese Gebarentaal
tst, Inverted name for	Songway Kiini, Tondi	NOG NIET VERTAALD
tst, Name for	Tondi Songway Kiini	NOG NIET VERTAALD
tsu, Name for	Tsou	Tsonga
tsv, Name for	Tsogo	Tsonga
tsw, Name for	Tsishingini	Tsimsjiaans
tsx, Name for	Mubami	Mari
tsy, Name for	Tebul Sign Language	Tebul Gebarentaal
tsz, Name for	Purepecha	Quechua
tta, Name for	Tutelo	NOG NIET VERTAALD
ttb, Name for	Gaa	Ga
ttc, Name for	Tektiteko	NOG NIET VERTAALD
ttd, Name for	Tauade	NOG NIET VERTAALD
tte, Name for	Bwanabwana	NOG NIET VERTAALD
ttf, Name for	Tuotomb	NOG NIET VERTAALD
ttg, Name for	Tutong	Tutong
tth, Inverted name for	Ta'oih, Upper	NOG NIET VERTAALD
tth, Name for	Upper Ta'oih	NOG NIET VERTAALD
tti, Name for	Tobati	Thai
ttj, Name for	Tooro	Nyoro
ttk, Name for	Totoro	NOG NIET VERTAALD
ttl, Name for	Totela	Tokelau
ttm, Inverted name for	Tutchone, Northern	Zuid-Sothaans
ttm, Name for	Northern Tutchone	NOG NIET VERTAALD
ttn, Name for	Towei	Twi
tto, Inverted name for	Ta'oih, Lower	NOG NIET VERTAALD
tto, Name for	Lower Ta'oih	NOG NIET VERTAALD
ttp, Name for	Tombelala	Tokelau
ttq, Inverted name for	Tamajaq, Tawallammat	NOG NIET VERTAALD
ttq, Name for	Tawallammat Tamajaq	NOG NIET VERTAALD
ttr, Name for	Tera	Tereno
tts, Inverted name for	Thai, Northeastern	NOG NIET VERTAALD
tts, Name for	Northeastern Thai	Zuid-Sothaans
ttt, Inverted name for	Tat, Muslim	NOG NIET VERTAALD
ttt, Name for	Muslim Tat	NOG NIET VERTAALD
ttu, Name for	Torau	Tokelau
ttv, Name for	Titan	Tibetaans
ttw, Name for	Long Wat	Kongo
tty, Name for	Sikaritai	Siksika
ttz, Name for	Tsum	Tetum
tua, Name for	Wiarumus	NOG NIET VERTAALD
tub, Name for	Tübatulabal	NOG NIET VERTAALD
tuc, Name for	Mutu	NOG NIET VERTAALD
tud, Name for	Tuxá	NOG NIET VERTAALD
tue, Name for	Tuyuca	Tumbuka
tuf, Inverted name for	Tunebo, Central	NOG NIET VERTAALD
tuf, Name for	Central Tunebo	NOG NIET VERTAALD
tug, Name for	Tunia	Tuviniaans
tuh, Name for	Taulil	Tamil
tui, Name for	Tupuri	Turks
tuj, Name for	Tugutil	Telugu
tuk, Name for	Turkmen	Turkmeens
tul, Name for	Tula	Fulah
tum, Name for	Tumbuka	Tumbuka
tun, Name for	Tunica	Tuviniaans
tuo, Name for	Tucano	Cebuano
tuq, Name for	Tedaga	Zenaga
tur, Name for	Turkish	Turks
tus, Name for	Tuscarora	NOG NIET VERTAALD
tuu, Name for	Tututni	NOG NIET VERTAALD
tuv, Name for	Turkana	Turkana
tux, Name for	Tuxináwa	NOG NIET VERTAALD
tuy, Name for	Tugen	Turkmeens
tuz, Name for	Turka	Turks
tva, Name for	Vaghua	Nahuatl
tvd, Name for	Tsuvadi	Tuvalu
tve, Name for	Te'un	Tetum
tvk, Inverted name for	Ambrym, Southeast	NOG NIET VERTAALD
tvk, Name for	Southeast Ambrym	Zuid-Sothaans
tvl, Name for	Tuvalu	Tuvalu
tvm, Name for	Tela-Masbuar	NOG NIET VERTAALD
tvn, Name for	Tavoyan	Samoaans
tvo, Name for	Tidore	Tigre
tvs, Name for	Taveta	Tatar
tvt, Inverted name for	Naga, Tutsa	NOG NIET VERTAALD
tvt, Name for	Tutsa Naga	NOG NIET VERTAALD
tvu, Name for	Tunen	Tunen
tvw, Name for	Sedoa	Venda
tvx, Name for	Taivoan	NOG NIET VERTAALD
tvy, Inverted name for	Pidgin, Timor	Pidgin, Timorees
tvy, Name for	Timor Pidgin	Tomirees Pidgin
twa, Name for	Twana	Tswana
twb, Inverted name for	Tawbuid, Western	NOG NIET VERTAALD
twb, Name for	Western Tawbuid	NOG NIET VERTAALD
twc, Name for	Teshenawa	NOG NIET VERTAALD
twd, Name for	Twents	NOG NIET VERTAALD
twe, Name for	Tewa (Indonesia)	Tewa (Indonesië)
twf, Inverted name for	Tiwa, Northern	NOG NIET VERTAALD
twf, Name for	Northern Tiwa	Noord-Sami
twg, Name for	Tereweng	Tereno
twh, Name for	Tai Dón	NOG NIET VERTAALD
twi, Name for	Twi	Twi
twl, Name for	Tawara	Tatar
twm, Inverted name for	Monpa, Tawang	Tswana
twm, Name for	Tawang Monpa	Samoaans
twn, Name for	Twendi	Twi
two, Name for	Tswapong	Tsonga
twp, Name for	Ere	Ewe
twq, Name for	Tasawaq	Tswana
twr, Inverted name for	Tarahumara, Southwestern	NOG NIET VERTAALD
twr, Name for	Southwestern Tarahumara	Zuid-Sothaans
twt, Name for	Turiwára	NOG NIET VERTAALD
twu, Name for	Termanu	Termanu
tww, Name for	Tuwari	Twi
twx, Name for	Tewe	Tereno
twy, Name for	Tawoyan	Samoaans
txa, Name for	Tombonuo	Oromo
txb, Name for	Tokharian B	Abchazisch
txc, Name for	Tsetsaut	Tetum
txe, Name for	Totoli	NOG NIET VERTAALD
txg, Name for	Tangut	Tangut
txh, Name for	Thracian	Thai
txi, Name for	Ikpeng	NOG NIET VERTAALD
txj, Name for	Tarjumo	NOG NIET VERTAALD
txm, Name for	Tomini	Komi
txn, Inverted name for	Tarangan, West	NOG NIET VERTAALD
txn, Name for	West Tarangan	Pangasinaans
txo, Name for	Toto	NOG NIET VERTAALD
txq, Name for	Tii	Twi
txr, Name for	Tartessian	Tahitisch
txs, Name for	Tonsea	Tsonga
txt, Name for	Citak	NOG NIET VERTAALD
txu, Name for	Kayapó	NOG NIET VERTAALD
txx, Name for	Tatana	Tatar
txy, Inverted name for	Malagasy, Tanosy	NOG NIET VERTAALD
txy, Name for	Tanosy Malagasy	NOG NIET VERTAALD
tya, Name for	Tauya	Tatar
tye, Name for	Kyanga	NOG NIET VERTAALD
tyh, Name for	O'du	NOG NIET VERTAALD
tyi, Name for	Teke-Tsaayi	NOG NIET VERTAALD
tyj, Name for	Tai Do	Thai
tyl, Name for	Thu Lao	Lao
tyn, Name for	Kombai	Komi
typ, Name for	Thaypan	NOG NIET VERTAALD
tyr, Name for	Tai Daeng	NOG NIET VERTAALD
tys, Name for	Tày Sa Pa	NOG NIET VERTAALD
tyt, Name for	Tày Tac	NOG NIET VERTAALD
tyu, Name for	Kua	Kru
tyv, Name for	Tuvinian	Tuviniaans
tyx, Name for	Teke-Tyee	NOG NIET VERTAALD
tyy, Name for	Tiyaa	Awiyaana
tyz, Name for	Tày	NOG NIET VERTAALD
tza, Name for	Tanzanian Sign Language	Tanzaniaanse Gebarentaal
tzh, Name for	Tzeltal	Tokelau
tzj, Name for	Tz'utujil	Telugu
tzl, Name for	Talossan	Russisch
tzm, Inverted name for	Tamazight, Central Atlas	NOG NIET VERTAALD
tzm, Name for	Central Atlas Tamazight	NOG NIET VERTAALD
tzn, Name for	Tugun	Telugu
tzo, Name for	Tzotzil	Thai
tzx, Name for	Tabriak	Tadzjieks
uam, Name for	Uamué	NOG NIET VERTAALD
uan, Name for	Kuan	Kuanyama
uar, Name for	Tairuma	NOG NIET VERTAALD
uba, Name for	Ubang	Ibaans
ubi, Name for	Ubi	NOG NIET VERTAALD
ubl, Inverted name for	Bikol, Buhi'non	NOG NIET VERTAALD
ubl, Name for	Buhi'non Bikol	NOG NIET VERTAALD
ubr, Name for	Ubir	NOG NIET VERTAALD
ubu, Name for	Umbu-Ungu	Umbundu
uby, Name for	Ubykh	Oezbeeks
uda, Name for	Uda	NOG NIET VERTAALD
ude, Name for	Udihe	NOG NIET VERTAALD
udg, Name for	Muduga	Ndonga
udi, Name for	Udi	NOG NIET VERTAALD
udj, Name for	Ujir	NOG NIET VERTAALD
udl, Name for	Wuzlam	Walamo
udm, Name for	Udmurt	Udmurts
udu, Name for	Uduk	Urdu
ues, Name for	Kioko	Kongo
ufi, Name for	Ufim	NOG NIET VERTAALD
uga, Name for	Ugaritic	Ugaritisch
ugb, Name for	Kuku-Ugbanh	NOG NIET VERTAALD
uge, Name for	Ughele	NOG NIET VERTAALD
ugh, Name for	Kubachi	Kachin
ugn, Name for	Ugandan Sign Language	Ugandese Gebarentaal
ugo, Name for	Ugong	Mongo
ugy, Name for	Uruguayan Sign Language	Urugayaanse Gebarentaal
uha, Name for	Uhami	Thai
uhn, Name for	Damal	Tamil
uig, Name for	Uighur	Oeigoers, Oejgoers
uis, Name for	Uisai	Masai
uiv, Name for	Iyive	NOG NIET VERTAALD
uji, Name for	Tanjijili	NOG NIET VERTAALD
uka, Name for	Kaburi	Kanuri
ukg, Name for	Ukuriguma	NOG NIET VERTAALD
ukh, Name for	Ukhwejo	NOG NIET VERTAALD
uki, Name for	Kui (India)	NOG NIET VERTAALD
ukk, Name for	Muak Sa-aak	NOG NIET VERTAALD
ukl, Name for	Ukrainian Sign Language	Oekraïnse Gebarentaal
ukp, Name for	Ukpe-Bayobiri	NOG NIET VERTAALD
ukq, Name for	Ukwa	NOG NIET VERTAALD
ukr, Name for	Ukrainian	Oekraïens
uks, Name for	Urubú-Kaapor Sign Language	NOG NIET VERTAALD
uku, Name for	Ukue	NOG NIET VERTAALD
ukv, Name for	Kuku	NOG NIET VERTAALD
ukw, Name for	Ukwuani-Aboh-Ndoni	NOG NIET VERTAALD
uky, Name for	Kuuk-Yak	NOG NIET VERTAALD
ula, Name for	Fungwa	Fang
ulb, Name for	Ulukwumi	NOG NIET VERTAALD
ulc, Name for	Ulch	NOG NIET VERTAALD
ule, Name for	Lule	Lule Sami
ulf, Name for	Usku	NOG NIET VERTAALD
uli, Name for	Ulithian	Litouws
ulk, Name for	Meriam Mir	Perzisch
ull, Name for	Ullatan	NOG NIET VERTAALD
ulm, Name for	Ulumanda'	NOG NIET VERTAALD
uln, Name for	Unserdeutsch	NOG NIET VERTAALD
ulu, Name for	Uma' Lung	NOG NIET VERTAALD
ulw, Name for	Ulwa	Alawa
uma, Name for	Umatilla	NOG NIET VERTAALD
umb, Name for	Umbundu	Umbundu
umc, Name for	Marrucinian	Sardinisch
umd, Name for	Umbindhamu	Umbundu
umg, Name for	Morrobalama	Maleis
umi, Name for	Ukit	NOG NIET VERTAALD
umm, Name for	Umon	Hmong
umn, Inverted name for	Naga, Makyan	Palauaans
umn, Name for	Makyan Naga	NOG NIET VERTAALD
umo, Name for	Umotína	NOG NIET VERTAALD
ump, Name for	Umpila	NOG NIET VERTAALD
umr, Name for	Umbugarla	Bambara
ums, Name for	Pendau	Venda
umu, Name for	Munsee	NOG NIET VERTAALD
una, Inverted name for	Watut, North	NOG NIET VERTAALD
una, Name for	North Watut	NOG NIET VERTAALD
und, Name for	Undetermined	Onbepaald
une, Name for	Uneme	NOG NIET VERTAALD
ung, Name for	Ngarinyin	Sardinisch
uni, Name for	Uni	Tamil
